Date,ES=F,NQ=F,Spread,Spread_Mean,Spread_Std,Z_Score,Signal
2022-09-20,3872.75,11922.25,91.80525962983847,101.76523381669627,27.477809623742647,-0.3624733675369712,0
2022-09-21,3806.25,11710.0,72.87104774794307,101.37466593079391,27.722193226673866,-1.0281877032523206,0
2022-09-22,3772.0,11565.5,71.00388111927896,100.88918532285075,27.997996444565693,-1.0674086720006144,0
2022-09-23,3709.0,11376.75,50.3032568897961,100.19208963507018,28.7309020494872,-1.736417208876479,0
2022-09-26,3670.0,11316.25,24.861467401670325,98.99692114792339,30.331029055662473,-2.444211622698399,1
2022-09-27,3661.0,11333.75,11.93967097261566,97.26256258512589,32.25629565176005,-2.645154686503955,1
2022-09-28,3732.0,11555.75,33.18888198689501,96.5065950112626,33.219485961565944,-1.9060413245895644,0
2022-09-29,3654.25,11228.25,28.83250087348779,95.70851050816124,34.261823845863084,-1.9519103809398735,0
2022-09-30,3601.5,11035.5,19.278287256359818,94.76993094744427,35.568643026798426,-2.1224212471138384,1
2022-10-03,3690.25,11285.75,51.94659832087973,94.48874633474762,35.84291244619047,-1.1869054468644173,0
2022-10-04,3803.25,11640.75,85.39015647434462,94.50656293519978,35.838038089859644,-0.2543779444063553,0
2022-10-05,3794.0,11623.75,79.9499015768547,94.59059521673382,35.79719265688746,-0.408989994835872,0
2022-10-06,3756.75,11541.75,61.07631913013893,94.61833913350192,35.7701006327132,-0.9377110885924503,0
2022-10-07,3653.25,11101.5,56.23751215249695,94.88459657599904,35.41634585827818,-1.0912216799031729,0
2022-10-10,3625.25,10984.5,54.45752256389051,94.70971347783029,35.592133800250664,-1.130929410971598,0
2022-10-11,3599.25,10845.0,59.71984266978234,94.76799710416928,35.53085218947755,-0.9864146868046819,0
2022-10-12,3588.5,10840.5,49.978304608682265,94.30551632421661,35.93471924946541,-1.233548296504189,0
2022-10-13,3681.75,11083.75,88.71533424482368,94.78631324492031,35.658061427234166,-0.17025544174591228,0
2022-10-14,3597.5,10744.0,80.60421063175454,95.13879041586073,35.40653972922206,-0.4105055138192555,0
2022-10-17,3689.25,11110.25,90.2766139379696,95.4480039020092,35.279369952069295,-0.14658396595703035,0
2022-10-18,3732.75,11198.75,113.94352913960802,95.81061459046614,35.35700805411683,0.5128520637659143,0
2022-10-19,3707.25,11153.25,98.64019985515006,95.79345575672384,35.3553532518479,0.08051804993003216,0
2022-10-20,3675.25,11090.75,80.64661567320218,95.68070374977397,35.39330348642704,-0.42477210646181157,0
2022-10-21,3764.0,11358.5,109.39313030866742,95.67299639326562,35.390214621359405,0.38768156854073316,0
2022-10-24,3809.25,11478.75,127.69478627473518,95.8443169832382,35.52188761229627,0.8966434903214887,0
2022-10-25,3870.25,11713.5,136.08668846213186,96.3385538783707,35.876234672818164,1.1079238093477117,0
2022-10-26,3841.0,11446.0,166.78414816339455,97.64831675490133,36.99118978190809,1.8689810145632746,0
2022-10-27,3819.5,11235.25,192.51378230186583,99.64130054410356,38.81352999303435,2.3927862725814832,-1
2022-10-28,3911.25,11587.0,205.4356740778694,102.12361081701302,40.72317219094894,2.536935550512402,-1
2022-10-31,3883.0,11447.25,208.5040198470333,104.38175875830892,42.78597961891828,2.4335602927900615,-1
2022-11-01,3866.0,11332.0,217.3318506155215,106.70042603382059,45.053273030586666,2.455569088323355,-1
2022-11-02,3768.75,10944.5,206.92162868744344,108.56629665042712,46.84193238434243,2.099728320983892,-1
2022-11-03,3727.75,10728.0,214.4398530811759,110.47895444757124,48.77596415564346,2.1313960765976208,-1
2022-11-04,3779.5,10890.25,229.8291976175128,112.35066316637226,51.14804014912566,2.296833546478491,-1
2022-11-07,3815.25,11014.25,237.79046863449776,114.1629490195926,53.61670337856635,2.305765028894449,-1
2022-11-08,3835.25,11094.25,239.86225638739097,116.10884174527273,56.012014694800136,2.2094083799061575,-1
2022-11-09,3755.5,10830.75,219.16330547629832,117.46551260541726,57.511131695207034,1.7683149309224344,0
2022-11-10,3961.0,11632.25,245.04502902559943,119.1539298953892,59.73946619412425,2.107335521230225,-1
2022-11-11,4000.25,11848.0,235.9448816216841,120.64022938850694,61.52091140966757,1.8742351111374767,0
2022-11-14,3966.0,11734.75,227.0745070839944,121.94385345809022,62.94127334561028,1.6702975335219576,0
2022-11-15,3999.5,11904.25,222.58910738543727,123.33694041943723,64.23693039346246,1.5450951089671179,0
2022-11-16,3968.5,11739.5,228.5100194818224,124.95838657983353,65.65162909669304,1.5772896168269632,0
